Size,Recursive,Iterative,
1,0.007409,0.037556,
2,0.005365,0.011497,
3,0.011241,0.025038,
4,0.024527,0.032447,
5,0.036024,0.052887,
6,0.071026,0.095042,
7,0.199792,0.585324,
8,0.396774,0.596311,
9,1.086338,1.255982,
10,2.332612,1.804261,
11,2.448604,2.390608,
12,3.796562,4.889288,
13,6.707601,5.778133,
14,8.676653,11.615284,
15,14.742466,12.357735,
