Size,Recursive,Iterative,
1,0.012519,0.047776,
2,0.005621,0.013541,
3,0.012008,0.027593,
4,0.024272,0.029126,
5,0.034747,0.049565,
6,0.057996,0.102195,
7,0.146906,0.553899,
8,0.363049,0.525029,
